
                  X          honeycombXYData-3

                0.                 0.         
                1.60215E-06     -233.722E-15  
                3.15377E-06     -495.02E-09   
                4.53311E-06     -103.674E-06  
                6.08484E-06       -3.05923E-03
                7.63657E-06      -51.2685E-03 
                9.01589E-06     -268.523E-03  
               10.5676E-06        43.3093     
               12.1193E-06       422.557      
               13.6711E-06       777.26       
               15.0469E-06         1.69308E+03
               16.568E-06          2.82377E+03
               18.0968E-06         8.95071E+03
               19.6332E-06        24.0022E+03 
               21.0123E-06        45.7563E+03 
               22.5638E-06        72.4844E+03 
               24.1155E-06        78.5782E+03 
               25.6671E-06        70.9057E+03 
               27.046E-06         58.006E+03  
               28.5969E-06        57.1932E+03 
               30.1475E-06        52.7964E+03 
               31.526E-06         46.3053E+03 
               33.077E-06         48.4195E+03 
               34.6283E-06        53.8749E+03 
               36.0076E-06        54.9545E+03 
               37.5594E-06        52.277E+03  
               39.1111E-06        52.5803E+03 
               40.6628E-06        47.6435E+03 
               42.0421E-06        50.5522E+03 
               43.5939E-06        35.9486E+03 
               45.1456E-06        42.572E+03  
               46.5249E-06        46.9676E+03 
               48.0766E-06        40.0969E+03 
               49.6282E-06        47.6253E+03 
               51.0074E-06        37.1045E+03 
               52.5589E-06        37.1002E+03 
               54.1105E-06        45.8551E+03 
               55.6622E-06        46.0969E+03 
               57.0416E-06        42.1762E+03 
               58.5933E-06        49.6991E+03 
               60.145E-06         48.2113E+03 
               61.5243E-06        46.6744E+03 
               63.0756E-06        29.8425E+03 
               64.6266E-06        48.0002E+03 
               66.005E-06         48.3735E+03 
               67.556E-06         42.6784E+03 
               69.1077E-06        40.2492E+03 
               70.6594E-06        42.395E+03  
               72.0387E-06        42.252E+03  
               73.5904E-06        32.3713E+03 
               75.1421E-06        42.2471E+03 
               76.5214E-06        31.1731E+03 
               78.0731E-06        28.4202E+03 
               79.6248E-06        30.0894E+03 
               81.0041E-06        38.5916E+03 
               82.5558E-06        31.538E+03  
               84.1075E-06        24.1487E+03 
               85.6592E-06        23.8839E+03 
               87.0385E-06        22.9712E+03 
               88.5902E-06        30.672E+03  
               90.1419E-06        26.4323E+03 
               91.5211E-06        29.9244E+03 
               93.0728E-06        32.3623E+03 
               94.6245E-06        32.9478E+03 
               96.0038E-06        30.1124E+03 
               97.5555E-06        26.8061E+03 
               99.1072E-06        26.6833E+03 
              100.659E-06         28.3988E+03 
              102.038E-06         27.4505E+03 
              103.59E-06          30.7379E+03 
              105.142E-06         37.7638E+03 
              106.521E-06         35.0806E+03 
              108.073E-06         32.9483E+03 
              109.624E-06         28.7473E+03 
              111.004E-06         25.7564E+03 
              112.555E-06         29.4313E+03 
              114.106E-06         28.0369E+03 
              115.657E-06         38.7147E+03 
              117.035E-06         36.9134E+03 
              118.585E-06         36.2506E+03 
              120.136E-06         42.8466E+03 
              121.515E-06         36.7535E+03 
              123.066E-06         33.9401E+03 
              124.618E-06         26.865E+03  
              126.17E-06          38.2626E+03 
              127.549E-06         45.9607E+03 
              129.101E-06         31.2893E+03 
              130.652E-06         26.7864E+03 
              132.032E-06         26.168E+03  
              133.583E-06         28.763E+03  
              135.135E-06         38.7367E+03 
              136.514E-06         36.3171E+03 
              138.066E-06         34.7581E+03 
              139.618E-06         29.5733E+03 
              141.169E-06         38.3583E+03 
              142.549E-06         32.8918E+03 
              144.1E-06           36.412E+03  
              145.652E-06         27.8237E+03 
              147.031E-06         24.3094E+03 
              148.583E-06         38.2275E+03 
              150.135E-06         36.0775E+03 
              151.514E-06         37.9208E+03 
              153.066E-06         35.3681E+03 
              154.618E-06         31.4949E+03 
              156.169E-06         32.8593E+03 
              157.548E-06         31.5361E+03 
              159.098E-06         30.4223E+03 
              160.646E-06         32.2199E+03 
              162.021E-06         24.8732E+03 
              163.567E-06         32.8071E+03 
              165.111E-06         28.0908E+03 
              166.653E-06         27.0363E+03 
              168.022E-06         25.9852E+03 
              169.56E-06          28.0095E+03 
              171.096E-06         26.2199E+03 
              172.63E-06          30.6345E+03 
              174.162E-06         27.2456E+03 
              175.523E-06         24.0698E+03 
              177.053E-06         24.2934E+03 
              178.58E-06          19.9832E+03 
              180.106E-06         31.411E+03  
              181.63E-06          27.1506E+03 
              183.153E-06         18.7446E+03 
              184.504E-06         28.2736E+03 
              186.024E-06         14.7094E+03 
              187.542E-06         28.1639E+03 
